porosity,widths,initial conditions,directions,max distance,projected distances,filled bottom,number filled,number blocked,total filled
0.68,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",2.206374594727492,"[1.503, 1.534, 2.03576042303606]",0.0,3.948,6802.137,6806.085
0.69,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",2.2004626358907617,"[1.521, 1.498, 2.0364675298172488]",0.0,3.912,6901.426,6905.338
0.7,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.9291615422518384,"[1.307, 1.306, 1.762110098716867]",0.0,3.436,6998.929,7002.365
0.71,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.9271262651733787,"[1.305, 1.318, 1.7606958851544947]",0.0,3.409,7100.177,7103.586
0.72,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.689435329352022,"[1.163, 1.109, 1.5513922779232803]",0.0,3.074,7199.388,7202.462
0.73,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.6032865947899118,"[1.074, 1.087, 1.4707821048680143]",0.0,2.931,7299.831,7302.762
0.74,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.4830932703511368,"[1.0, 0.987, 1.350573952066304]",0.0,2.789,7398.374,7401.163
0.75,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.4600845281528212,"[0.994, 0.967, 1.3279465350683364]",0.0,2.725,7501.357,7504.082
0.76,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.2010814915849186,"[0.79, 0.798, 1.0790449480906743]",0.0,2.379,7597.117,7599.496
0.77,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.236730961255562,"[0.81, 0.818, 1.1115718600252555]",0.0,2.415,7699.992,7702.407
0.78,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.2048448166479435,"[0.8, 0.79, 1.0861160159025405]",0.0,2.364,7799.986,7802.35
0.79,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",1.101018795014205,"[0.726, 0.715, 0.986413959755238]",0.0,2.22,7899.689,7901.909
0.8,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.9915553360105237,"[0.624, 0.676, 0.8796408357960694]",0.0,2.08,7998.613,8000.693
0.81,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.9122478408772369,"[0.578, 0.626, 0.8167083322704664]",0.0,2.01,8101.175,8103.185
0.82,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.7699703213005096,"[0.501, 0.494, 0.6837722574073941]",0.0,1.824,8199.877,8201.701
0.83,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.808885091238983,"[0.531, 0.513, 0.716299169341976]",0.0,1.849,8299.597,8301.446
0.84,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.6748061155625421,"[0.444, 0.416, 0.5953839097590751]",0.0,1.698,8397.842,8399.54
0.85,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.6039841112332127,"[0.392, 0.378, 0.5246732316404202]",0.0,1.615,8501.233,8502.848
0.86,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.6327829903714391,"[0.416, 0.388, 0.5529575028878825]",0.0,1.631,8601.577,8603.208
0.87,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.5839801283061263,"[0.366, 0.377, 0.5105310960166891]",0.0,1.588,8699.036,8700.624
0.88,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.46656651333150606,"[0.292, 0.295, 0.40941482630701237]",0.0,1.458,8799.202,8800.66
0.89,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.47964697611973284,"[0.277, 0.318, 0.4122432534317588]",0.0,1.47,8901.451,8902.921
0.9,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.3728561298929468,"[0.227, 0.231, 0.317490944752761]",0.0,1.353,8998.682,9000.035
0.91,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.3881565541203494,"[0.246, 0.238, 0.33658282784479787]",0.0,1.376,9100.159,9101.535
0.92,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.30971480752729175,"[0.182, 0.197, 0.26445793616376956]",0.0,1.295,9200.06,9201.355
0.93,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.27196625173737715,"[0.186, 0.158, 0.2340523445727477]",0.0,1.256,9299.504,9300.76
0.94,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.20988776729784772,"[0.139, 0.12, 0.17889801564019694]",0.0,1.199,9398.356,9399.555
0.95,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.1759308781714497,"[0.096, 0.111, 0.14637110370561557]",0.0,1.165,9499.416,9500.581
0.96,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.13851938711454237,"[0.074, 0.093, 0.11737972567696692]",0.0,1.127,9599.399,9600.526
0.97,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.09449479888657095,"[0.058, 0.059, 0.08273149339882603]",0.0,1.084,9700.015,9701.099
0.98,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.08089854282619238,"[0.047, 0.053, 0.07071067811865472]",0.0,1.068,9800.59,9801.658
0.99,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.04638477631085023,"[0.027, 0.027, 0.03818376618407354]",0.0,1.041,9900.09,9901.131
1.0,"(100, 100)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",0.0,"[0.0, 0.0, 0.0]",0.0,1.0,10000.0,10001.0
