porosity,widths,initial conditions,directions,max distance,projected distances,filled bottom,number filled,number blocked,total filled
0.0,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.727922061357997,"[9.0, 9.0, 12.727922061357997]",1.0,100.0,0.0,100.0
0.01,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.721401950273624,"[9.0, 9.0, 12.721204546936724]",0.9905,98.2706,1.0031,99.2737
0.02,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.71508773743402,"[9.0, 9.0, 12.714699164549806]",0.9813,96.6145,1.9929,98.6074
0.03,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.7046602084145,"[9.0, 9.0, 12.703951141475773]",0.9662,94.9394,2.9955,97.9349
0.04,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.700230309788562,"[8.9991, 8.9991, 12.699425658076178]",0.9615,93.1502,4.0041,97.1543
0.05,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.690241158553844,"[8.9982, 8.9982, 12.689172609748972]",0.9487,91.4292,4.9888,96.418
0.06,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.684975031799995,"[8.9982, 8.9982, 12.683727887533834]",0.9414,89.6975,6.0259,95.7234
0.07,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.673860962284204,"[8.9973, 8.9973, 12.672272757678614]",0.9278,88.0257,6.9976,95.0233
0.08,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.665274522268763,"[8.9955, 8.9956, 12.6635046335919]",0.918,86.3119,8.0177,94.3296
0.09,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.649873319963975,"[8.9913, 8.9913, 12.647736152371442]",0.9047,84.418,9.0105,93.4285
0.1,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.643608829874207,"[8.9928, 8.993, 12.641160059306406]",0.8935,82.9089,9.982,92.8909
0.11,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.62185923881928,"[8.9834, 8.9833, 12.619098327733386]",0.8806,81.1155,10.9562,92.0717
0.12,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.620379928801588,"[8.9842, 8.9847, 12.617189139424182]",0.8773,79.153,12.0368,91.1898
0.13,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.592142955728816,"[8.9715, 8.9714, 12.588904868176721]",0.8616,77.4328,13.0171,90.4499
0.14,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.580919493873129,"[8.9665, 8.9661, 12.577308316965258]",0.8578,75.6049,14.0291,89.634
0.15,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.565990654932888,"[8.9617, 8.9622, 12.561822678457274]",0.8447,74.0849,14.983,89.0679
0.16,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.539673335522382,"[8.9509, 8.9512, 12.534952620772184]",0.8298,72.0432,16.0148,88.058
0.17,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.51385669801429,"[8.9412, 8.9407, 12.50843611647769]",0.8154,70.4178,16.9919,87.4097
0.18,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.480903796240373,"[8.9231, 8.9212, 12.47421214826826]",0.8033,68.3171,18.0246,86.3417
0.19,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.432256993618433,"[8.8934, 8.893, 12.425492491044507]",0.7917,66.6309,19.0353,85.6662
0.2,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.42159945713638,"[8.8909, 8.8909, 12.413825229154925]",0.7831,64.8124,19.9481,84.7605
0.21,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.38886333487914,"[8.8715, 8.8742, 12.379813392979852]",0.7722,63.0546,21.0199,84.0745
0.22,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.30457249601541,"[8.8225, 8.8272, 12.29368778703133]",0.7475,61.0237,21.9915,83.0152
0.23,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.262212372620791,"[8.8025, 8.8024, 12.249564323885288]",0.7293,59.1079,23.0398,82.1477
0.24,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.214364849440152,"[8.7741, 8.7733, 12.201198220052126]",0.7204,57.1482,24.0083,81.1565
0.25,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.103605578333916,"[8.7036, 8.7035, 12.087141896246731]",0.6978,55.339,24.9753,80.3143
0.26,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.0662876796848,"[8.6812, 8.6812, 12.047614627178401]",0.683,53.5503,26.0027,79.553
0.27,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.980494337147123,"[8.6297, 8.6353, 11.957317091220878]",0.6542,51.6718,27.0285,78.7003
0.28,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.807044829587479,"[8.5041, 8.5047, 11.780611106602352]",0.6437,49.4976,27.9998,77.4974
0.29,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.706386302745077,"[8.4445, 8.4534, 11.672848033149522]",0.6085,47.6547,29.0518,76.7065
0.3,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.619665000241755,"[8.394, 8.3877, 11.582621207870114]",0.5983,45.8569,30.023,75.8799
0.31,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.472845603642394,"[8.2844, 8.2873, 11.432926702292919]",0.5765,43.9729,30.9316,74.9045
0.32,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.357834924428706,"[8.2086, 8.2198, 11.310102254400812]",0.5439,42.2097,31.9408,74.1505
0.33,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.21739673885432,"[8.1234, 8.1211, 11.166347445785581]",0.5225,40.5474,32.8861,73.4335
0.34,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.025350293466857,"[7.9848, 7.985, 10.959377290932274]",0.4901,38.4202,33.9202,72.3404
0.35,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",10.789718468264958,"[7.8272, 7.8188, 10.720728752281808]",0.4609,36.6714,34.965,71.6364
0.36,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",10.53212106344073,"[7.6396, 7.6391, 10.451533200684082]",0.431,34.2111,36.1404,70.3515
0.37,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",10.474070979234405,"[7.6004, 7.5973, 10.388600697158475]",0.417,33.0968,36.9443,70.0411
0.38,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",10.11488028074235,"[7.3572, 7.3378, 10.0146119205889]",0.377,31.193,38.1022,69.2952
0.39,"(10, 10)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",9.810118601767975,"[7.1149, 7.1213, 9.707656866875814]",0.357,29.1727,38.9826,68.1553
